state_name,city_code,city_name
CH,1,"RLA,CHANDIGARH, CH:Chandigarh"
CG,4,"RTO,RAIPUR, CG:ChattisGarh"
CG,5,"DTO,DHAMTARI, CG:ChattisGarh"
CG,6,"DTO,MAHASAMUND, CG:ChattisGarh"
CG,7,"ADDL.RTO,DURG, CG:ChattisGarh"
CG,8,"ADDL.RTO,RAJNANDGAON, CG:ChattisGarh"
CG,9,"DTO,KABIRDHAM, CG:ChattisGarh"
CG,10,"RTO,BILASHPUR, CG:ChattisGarh"
CG,11,"DTO,JANGIR_CHAMPA, CG:ChattisGarh"
CG,12,"ADDL.RTO,KORBA, CG:ChattisGarh"
CG,13,"ADDL.RTO,RAIGARH, CG:ChattisGarh"
CG,14,"DTO,JASHPUR, CG:ChattisGarh"
CG,15,"ADDL.RTO,AMBIKAPUR, CG:ChattisGarh"
CG,16,"DTO,BAIKUNTHPUR, CG:ChattisGarh"
CG,17,"RTO,JAGDALPUR, CG:ChattisGarh"
CG,18,"DTO,DANTEWADA, CG:ChattisGarh"
CG,19,"DTO,KANKER, CG:ChattisGarh"
CG,22,"DTO,BALODABAZAR, CG:ChattisGarh"
CG,23,"DTO,GARIYABAND, CG:ChattisGarh"
CG,24,"DTO,BALOD, CG:ChattisGarh"
CG,25,"DTO,BEMETARA, CG:ChattisGarh"
CG,26,"DTO,SUKMA, CG:ChattisGarh"
CG,27,"DTO,KONDAGAON, CG:ChattisGarh"
CG,28,"DTO,MUNGELI, CG:ChattisGarh"
CG,29,"DTO,SURAJPUR, CG:ChattisGarh"
CG,30,"DTO,BALRAMPUR, CG:ChattisGarh"
DN,9,"RLA, SILVASSA, DNH UT, DN:Dadra &amp; Nagar Haveli"
DD,2,"RTO,DIU, DD:Daman and Diu"
DD,3,"RTO,DAMAN, DD:Daman and Diu"
KA,1,"RTO,KORAMANGALA, KA:Karnataka"
KA,2,"RTO,BANGALORE (WEST), KA:Karnataka"
KA,3,"RTO,BANGALORE (EAST), KA:Karnataka"
KA,4,"RTO,BANGALORE (NORTH), KA:Karnataka"
KA,5,"RTO,BANGALORE (SOUTH), KA:Karnataka"
KA,6,"RTO,TUMKUR, KA:Karnataka"
KA,7,"RTO,KOLAR, KA:Karnataka"
KA,8,"RTO,CORMONDAL, KA:Karnataka"
KA,9,"RTO,MYSORE, KA:Karnataka"
KA,10,"RTO,CHAMARAJ NAGAR, KA:Karnataka"
KA,11,"RTO,MANDYA, KA:Karnataka"
KA,12,"RTO,MADEIKERI, KA:Karnataka"
KA,13,"RTO,HASSAN, KA:Karnataka"
KA,14,"RTO,SHIMOGA, KA:Karnataka"
KA,15,"ASST.RTO,SAGAR, KA:Karnataka"
KA,16,"RTO,CHITRADURGA, KA:Karnataka"
KA,17,"RTO,DAVANAGERE, KA:Karnataka"
KA,18,"RTO,CHICKMAGALUR, KA:Karnataka"
KA,19,"RTO,MANGALORE., KA:Karnataka"
KA,20,"RTO,UDUPI, KA:Karnataka"
KA,21,"RTO,PUTTUR, KA:Karnataka"
KA,22,"RTO,BELGAUM, KA:Karnataka"
KA,23,"RTO,CHIKKODI, KA:Karnataka"
KA,24,"ASST.RTO,BAILAHONGALA, KA:Karnataka"
KA,25,"RTO,DHARWAD, KA:Karnataka"
KA,26,"RTO,GADAG, KA:Karnataka"
KA,27,"RTO,HAVERI, KA:Karnataka"
KA,28,"RTO,BIJAPUR, KA:Karnataka"
KA,29,"RTO,BAGALKOT, KA:Karnataka"
KA,30,"RTO,KARWAR, KA:Karnataka"
KA,31,"RTO,SIRSI, KA:Karnataka"
KA,32,"RTO,GULBARGA, KA:Karnataka"
KA,33,"RTO,YADAGIRI, KA:Karnataka"
KA,34,"RTO,BELLARY, KA:Karnataka"
KA,35,"RTO,HOSPET, KA:Karnataka"
KA,36,"RTO,RAICHUR, KA:Karnataka"
KA,37,"RTO,KOPPAL, KA:Karnataka"
KA,38,"RTO,BIDAR, KA:Karnataka"
KA,39,"ASST.RTO,BHALKI, KA:Karnataka"
KA,40,"RTO,CHIKKABALLAPURA, KA:Karnataka"
KA,41,"RTO,BANGALORE, KA:Karnataka"
KA,42,"RTO,RAMANAGARA, KA:Karnataka"
KA,43,"ASST.RTO,DEVENAHALLI, KA:Karnataka"
KA,44,"ASST.RTO,TIPTUR, KA:Karnataka"
KA,45,"ASST.RTO,HUNSUR, KA:Karnataka"
KA,46,"ASST.RTO,SAKALESHPURA, KA:Karnataka"
KA,47,"ASST.RTO,HONNAVARA, KA:Karnataka"
KA,48,"ASST.RTO,JAMAKHANDI, KA:Karnataka"
KA,49,"ASST.RTO,GOKAK, KA:Karnataka"
KA,50,"RTO,YELAHANKA, KA:Karnataka"
KA,51,"RTO,CHENNAKESHAVANAGAR, KA:Karnataka"
KA,52,"RTO,NELAMANGALA, KA:Karnataka"
KA,53,"RTO, K.R.PURAM, KA:Karnataka"
KA,54,"ASST.RTO,NAGAMANGALA, KA:Karnataka"
KA,55,"RTO,MYSORE EAST, KA:Karnataka"
KA,56,"RTO, BASAVAKALYAN, KA:Karnataka"
KA,64,"ARTO MADHUGIRI, KA:Karnataka"
KA,65,"ARTO DANDELI, KA:Karnataka"
KA,66,"ARTO,TARIKERE,CHICKMAGALUR DISTRICT, KARNATAKA., KA:Karnataka"
KL,1,"RTO,THIRUVANANTHAPURAM, KL:Kerala"
KL,2,"RTO,KOLLAM, KL:Kerala"
KL,3,"RTO,PATHANAMTHITTA, KL:Kerala"
KL,4,"RTO,ALAPPUZHA, KL:Kerala"
KL,5,"RTO,KOTTAYAM, KL:Kerala"
KL,6,"RTO,IDUKKI, KL:Kerala"
KL,7,"RTO,ERNAKULAM, KL:Kerala"
KL,8,"RTO,THRISSUR, KL:Kerala"
KL,9,"RTO,PALAKKAD, KL:Kerala"
KL,10,"RTO,MALAPPURAM, KL:Kerala"
KL,11,"RTO,KOZHIKODE, KL:Kerala"
KL,12,"RTO,WAYANAD, KL:Kerala"
KL,13,"RTO,KANNUR, KL:Kerala"
